year,quarter,positivePercent,neutralPercent,negativePercent
2015,1,0.23555555555555555,0.5111111111111111,0.25333333333333335
2015,2,0.2153846153846154,0.578021978021978,0.20659340659340658
2015,3,0.29130434782608694,0.508695652173913,0.2
2015,4,0.2543478260869565,0.5717391304347826,0.17391304347826086
2016,1,0.2571428571428571,0.5318681318681319,0.210989010989011
2016,2,0.2571428571428571,0.5186813186813187,0.22417582417582418
2016,3,0.24130434782608695,0.5217391304347826,0.23695652173913043
2016,4,0.30434782608695654,0.4956521739130435,0.2
2017,1,0.32,0.45555555555555555,0.22444444444444445
2017,2,0.29010989010989013,0.47912087912087914,0.23076923076923078
2017,3,0.2826086956521739,0.48478260869565215,0.2326086956521739
2017,4,0.28043478260869564,0.4717391304347826,0.24782608695652175
2018,1,0.32,0.4444444444444444,0.23555555555555555
2018,2,0.34065934065934067,0.4043956043956044,0.2549450549450549
2018,3,0.29130434782608694,0.45869565217391306,0.25
2018,4,0.39565217391304347,0.391304347826087,0.21304347826086956
2019,1,0.2866666666666667,0.4533333333333333,0.26
2019,2,0.31648351648351647,0.43956043956043955,0.24395604395604395
2019,3,0.34347826086956523,0.41304347826086957,0.24347826086956523
2019,4,0.33043478260869563,0.4108695652173913,0.25869565217391305
2020,1,0.29010989010989013,0.43736263736263736,0.2725274725274725
2020,2,0.35824175824175825,0.4,0.24175824175824176
2020,3,0.3130434782608696,0.42391304347826086,0.26304347826086955
2020,4,0.30434782608695654,0.44565217391304346,0.25
2021,1,0.35333333333333333,0.37777777777777777,0.2688888888888889
2021,2,0.2857142857142857,0.45494505494505494,0.25934065934065936
2021,3,0.34130434782608693,0.4391304347826087,0.21956521739130436
2021,4,0.3826086956521739,0.4391304347826087,0.1782608695652174
2022,1,0.29777777777777775,0.4444444444444444,0.2577777777777778
2022,2,0.34725274725274724,0.4153846153846154,0.23736263736263735
2022,3,0.30869565217391304,0.4369565217391304,0.2543478260869565
2022,4,0.2956521739130435,0.4326086956521739,0.2717391304347826
